0101JAMMU & KASHMIR               Kupwara 01
0102JAMMU & KASHMIR               Baramula 02
0103JAMMU & KASHMIR               Srinagar 03
0104JAMMU & KASHMIR               Badgam 04
0105JAMMU & KASHMIR               Pulwama 05
0106JAMMU & KASHMIR               Anantnag 06
0107JAMMU & KASHMIR               Leh (Ladakh) 07
0108JAMMU & KASHMIR               Kargil 08
0109JAMMU & KASHMIR               Doda 09
0110JAMMU & KASHMIR               Udhampur 10
0111JAMMU & KASHMIR               Poonch 11
0112JAMMU & KASHMIR               Rajauri 12
0113JAMMU & KASHMIR               Jammu 13
0114JAMMU & KASHMIR               Kathua 14
0201HIMACHAL PRADESH              Chamba 01
0202HIMACHAL PRADESH              Kangra 02
0203HIMACHAL PRADESH              Lahul & Spiti 03
0204HIMACHAL PRADESH              Kullu 04
0205HIMACHAL PRADESH              Mandi 05
0206HIMACHAL PRADESH              Hamirpur 06
0207HIMACHAL PRADESH              Una 07
0208HIMACHAL PRADESH              Bilaspur 08
0209HIMACHAL PRADESH              Solan 09
0210HIMACHAL PRADESH              Sirmaur 10
0211HIMACHAL PRADESH              Shimla 11
0212HIMACHAL PRADESH              Kinnaur 12
0301PUNJAB                        Gurdaspur 01
0302PUNJAB                        Amritsar 02
0303PUNJAB                        Kapurthala 03
0304PUNJAB                        Jalandhar 04
0305PUNJAB                        Hoshiarpur 05
0306PUNJAB                        Nawanshahr * 06
0307PUNJAB                        Rupnagar 07
0308PUNJAB                        Fatehgarh Sahib * 08
0309PUNJAB                        Ludhiana 09
0310PUNJAB                        Moga * 10
0311PUNJAB                        Firozpur 11
0312PUNJAB                        Muktsar * 12
0313PUNJAB                        Faridkot 13
0314PUNJAB                        Bathinda 14
0315PUNJAB                        Mansa * 15
0316PUNJAB                        Sangrur 16
0317PUNJAB                        Patiala 17
0401CHANDIGARH                    Chandigarh 01
0501UTTARANCHAL                   Uttarkashi 01
0502UTTARANCHAL                   Chamoli 02
0503UTTARANCHAL                   Rudraprayag * 03
0504UTTARANCHAL                   Tehri Garhwal 04
0505UTTARANCHAL                   Dehradun 05
0506UTTARANCHAL                   Garhwal 06
0507UTTARANCHAL                   Pithoragarh 07
0508UTTARANCHAL                   Bageshwar 08
0509UTTARANCHAL                   Almora 09
0510UTTARANCHAL                   Champawat 10
0511UTTARANCHAL                   Nainital 11
0512UTTARANCHAL                   Udham Singh Nagar * 12
0513UTTARANCHAL                   Hardwar 13
0601HARYANA                       Panchkula * 01
0602HARYANA                       Ambala 02
0603HARYANA                       Yamunanagar 03
0604HARYANA                       Kurukshetra 04
0605HARYANA                       Kaithal 05
0606HARYANA                       Karnal 06
0607HARYANA                       Panipat 07
0608HARYANA                       Sonipat 08
0609HARYANA                       Jind 09
0610HARYANA                       Fatehabad * 10
0611HARYANA                       Sirsa 11
0612HARYANA                       Hisar 12
0613HARYANA                       Bhiwani 13
0614HARYANA                       Rohtak 14
0615HARYANA                       Jhajjar * 15
0616HARYANA                       Mahendragarh 16
0617HARYANA                       Rewari 17
0618HARYANA                       Gurgaon 18
0619HARYANA                       Faridabad 19
0701DELHI                         North West * 01
0702DELHI                         North * 02
0703DELHI                         North East * 03
0704DELHI                         East * 04
0705DELHI                         New Delhi 05
0706DELHI                         Central * 06
0707DELHI                         West * 07
0708DELHI                         South West * 08
0709DELHI                         South * 09
0801RAJASTHAN                     Ganganagar 01
0802RAJASTHAN                     Hanumangarh * 02
0803RAJASTHAN                     Bikaner 03
0804RAJASTHAN                     Churu 04
